ReleasedYearQuarterNumber,ConsolidatedContribution,HealthContribution,PensionContribution
20071,"8,391,857.74","4,881,886.45","3,509,971.29"
20072,"12,851,810.10","7,530,525.65","5,319,279.86"
20072,"12,947,082.71","7,742,244.93","5,226,613.69"
20072,"6,237,178.12","3,626,720.44","2,670,106.08"
20073,"7,050,811.20","4,304,292.31","2,746,518.89"
20073,"11,887,613.68","6,918,082.94","4,969,530.74"
20073,"13,053,874.92","7,746,152.40","5,374,132.97"
20074,"7,149,144.15","4,294,447.07","2,854,697.08"
20074,"13,851,995.60","8,266,381.33","5,652,293.77"
20074,"13,453,435.80","8,024,948.32","5,428,487.48"
20081,"3,217,245.52","2,033,343.40","1,252,605.93"
20081,"12,540,120.62","7,537,421.02","5,002,699.60"
20081,"3,773,600.01","2,242,229.59","1,531,370.42"
20082,"6,883,607.39","4,175,505.23","2,708,102.16"
20082,"13,021,308.29","7,809,544.59","5,211,763.70"
20082,"10,521,718.91","6,195,990.82","4,399,088.35"
20083,"11,884,015.45","7,038,508.31","4,845,507.14"
20083,"6,527,059.37","3,870,047.69","2,666,011.68"
20083,"10,802,777.23","6,370,712.86","4,432,064.37"
20084,"14,947,467.30","8,810,006.22","6,137,461.08"
20084,"11,030,113.54","6,490,645.69","4,539,467.85"
20084,"7,426,633.28","4,362,780.12","3,063,853.16"
20091,"9,650,509.74","5,622,427.41","4,028,082.33"
20091,"14,147,590.24","8,128,460.97","6,051,675.69"
20091,"12,593,919.45","7,335,961.89","5,257,957.56"
20092,"6,202,119.44","3,623,875.88","2,578,243.56"
20092,"15,028,139.78","8,627,869.06","6,400,270.72"
20092,"9,032,228.51","5,285,619.01","3,746,609.50"
20093,"6,728,137.84","3,782,880.83","2,945,257.01"
20093,"13,206,059.40","7,778,577.03","5,427,482.37"
20093,"12,827,005.50","7,545,598.87","5,281,406.63"
20094,"9,468,270","5,534,919.35","3,933,350.65"
20094,"8,292,708.92","4,891,711.46","3,400,997.46"
20094,"15,679,782.50","9,090,481.08","6,589,301.42"
20101,"8,770,955.60","5,291,368.44","3,479,587.16"
20101,"12,596,417.08","7,412,846.64","5,183,570.44"
20101,"14,954,521.29","8,920,255.98","6,034,265.31"
